number,key,question,options
,WHYNOTBIZF2O_W36,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Sexual harassment creates an environment that makes it harder for women to succeed in business","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,HIGHED_W36,"Now, thinking about the higher education system, that is colleges and universities, in the United States today","['Right direction', 'Wrong direction', 'Refused']"
,HIGHEDWRNGA_W36,"For tuition costs are too high, please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction.","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,HIGHEDWRNGB_W36,Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classroom,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,HIGHEDWRNGC_W36,Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Colleges and universities are too concerned about protecting students from views they might find offensive,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,HIGHEDWRNGD_W36,Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Students are not getting the skills they need to succeed in the workplace,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,HIGHEDWRNGS_W36,Are there any other major reasons why you think the higher education system in the U.S. is going in the wrong direction?,"['Yes', 'No', 'Refused']"
,BETTERPOL1F1A_W36,"In general, do you think men or women in high political offices are better at being honest and ethical?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1B_W36,"In general, do you think men or women in high political offices are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1C_W36,"In general, do you think men or women in high political offices are better at working out compromises?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1D_W36,"In general, do you think men or women in high political offices are better at working well under pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1E_W36,"In general, do you think men or women in high political offices are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1F_W36,"In general, do you think men or women in high political offices are better at standing up for what they believe in, despite political pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1G_W36,"In general, do you think men or women in high political offices are better at being persuasive?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1H_W36,"In general, do you think men or women in high political offices are better at maintaining a tone of civility and respect in politics?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL1F1I_W36,"In general, do you think men or women in high political offices are better at serving as a role model for children?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL2F1A_W36,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at handling economic conditions?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL2F1B_W36,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with social issues such as education and health care?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL2F1C_W36,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with immigration policy?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL2F1D_W36,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL2F1E_W36,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with the federal budget deficit?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERPOL2F1F_W36,"And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2A_W36,"In general, do you think men or women in top executive business positions are better at being honest and ethical?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2B_W36,"In general, do you think men or women in top executive business positions are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2C_W36,"In general, do you think men or women in top executive business positions are better at working out compromises?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2D_W36,"In general, do you think men or women in top executive business positions are better at working well under pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2E_W36,"In general, do you think men or women in top executive business positions are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2F_W36,"In general, do you think men or women in top executive business positions are better at valuing people from different backgrounds?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2G_W36,"In general, do you think men or women in top executive business positions are better at providing fair pay and good benefits?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2H_W36,"In general, do you think men or women in top executive business positions are better at negotiating profitable deals?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2I_W36,"In general, do you think men or women in top executive business positions are better at considering the impact of business decisions on society?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2J_W36,"In general, do you think men or women in top executive business positions are better at providing guidance or mentorship to young employees?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2K_W36,"In general, do you think men or women in top executive business positions are better at creating a safe and respectful workplace?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ1F2L_W36,"In general, do you think men or women in top executive business positions are better at standing up for what they believe in, despite pressure to make a profit?","['Men are better', 'Women are better', 'No difference', 'Refused']"
,BETTERBIZ2F2A_W36,"In general, do you think men or women would do a better job running a major technology company types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']"
,BETTERBIZ2F2B_W36,"In general, do you think men or women would do a better job running a major retail chain types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']"
,BETTERBIZ2F2C_W36,"In general, do you think men or women would do a better job running a large bank or financial institution types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']"
,BETTERBIZ2F2D_W36,"In general, do you think men or women would do a better job running a large oil or gas company types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']"
,BETTERBIZ2F2E_W36,"In general, do you think men or women would do a better job running a major hospital types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']"
,BETTERBIZ2F2F_W36,"In general, do you think men or women would do a better job running a professional sports team types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']"
,TRAITPOLWF1A_W36,"In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLWF1B_W36,"In general, how do you think being compassionate impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLWF1C_W36,"In general, how do you think being ambitious impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLWF1D_W36,"In general, how do you think being approachable impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLWF1E_W36,"In general, how do you think being assertive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLWF1F_W36,"In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLWF1G_W36,"In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1A_W36,"In general, how do you think being decisive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1B_W36,"In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1C_W36,"In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1D_W36,"In general, how do you think being approachable impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1E_W36,"In general, how do you think being assertive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1F_W36,"In general, how do you think showing emotions impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITPOLMF1G_W36,"In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,POLCHF1_W36,"In general, what do you think is better for a woman who wants to reach high political office?","['Having children before she enters politics', 'Waiting until she is well-established in her political career to have children', 'Not having children at all', 'Refused']"
,TRAITBIZWF2A_W36,"In general, how do you think being decisive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZWF2B_W36,"In general, how do you think being compassionate impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZWF2C_W36,"In general, how do you think being ambitious impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZWF2D_W36,"In general, how do you think being approachable impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZWF2E_W36,"In general, how do you think being assertive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZWF2F_W36,"In general, how do you think showing emotions impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZWF2G_W36,"In general, how do you think being physically attractive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2A_W36,"In general, how do you think being decisive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2B_W36,"In general, how do you think being compassionate impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2C_W36,"In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2D_W36,"In general, how do you think being approachable impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2E_W36,"In general, how do you think being assertive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2F_W36,"In general, how do you think showing emotions impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,TRAITBIZMF2G_W36,"In general, how do you think being physically attractive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
,EXECCHF2_W36,"In general, what do you think is better for a woman who wants to reach a top executive position in business?","['Having children early on in her career', 'Waiting until she is well-established in her career to have children', 'Not having children at all', 'Refused']"
,WMNPRZ1_W36,Do you think it would be a good thing or a bad thing for the country if a woman was elected president?,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'Refused']"
,MOREWMN1F2_W36,"As you may know, more women are running for U.S. Congress this year than in the past. Do you think this is","['A good thing', 'A bad thing', 'Neither a good thing nor a bad thing', 'Refused']"
,MOREWMN2F2_W36,"If there were more women in the U.S. Congress, do you think Congress would","[""Do a better job of dealing with the country's problems"", ""Do a worse job of dealing with the country's problems"", ""The number of women in Congress doesn't have much to with this"", 'Refused']"
,MOREWMN3F2_W36,"If there were more women in the U.S. Congress, do you think there would be","['more openness and transparency in government', 'less openness and transparency in government', ""The number of women in Congress doesn't have much to with this"", 'Refused']"
,MOREWMN4F2_W36,"If there were more women in the U.S. Congress, do you think","['The tone of political debate in Washington would be more respectful', 'The tone of political debate in Washington would be less respectful', ""The number of women in Congress doesn't have much to with this"", 'Refused']"
,COLSPEECH_W36,Thinking again about colleges and universities which of the following do you think should be more important on college campuses these days?,"['Allowing people to speak their minds freely, even if some students find their views upsetting or offensive', ""Ensuring that students aren't exposed to views they find upsetting or offensive, even if that limits what people are a"", 'Refused']"
,E5_W36,"This question is about your household is your spouse now employed full-time, part-time or not employed?","['Full-time', 'Part-time', 'Not employed', 'Refused']"
,EARN_W36,Which of the following applies to your household income?,"['I earn more than my spouse', 'My spouse earns more than me', 'My spouse and I earn about the same', 'Refused']"
,FERTIL1_W36,Have you or anyone you know personally ever used fertility treatments to try to have a baby or not?,"['Yes', 'No', 'Refused']"
,OPTIMIST_W41,"Please think about what things will be like in 2050, about 30 years from now. Thinking about the future of the United States, would you say you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']"
,AVGFAM_W41,"Over the next 30 years, do you think that the average American family will see its standard of living","['Get better', 'Stay about the same', 'Get worse', 'Refused']"
,HAPPENa_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. economy will be stronger/weaker","['The U.S. economy will be stronger', 'The U.S. economy will be weaker', 'Refused']"
,HAPPENb_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Health care will be more/less affordable","['Health care will be more affordable', 'Health care will be less affordable', 'Refused']"
,HAPPENc_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Race relations will improve/get worse","['Race relations will improve', 'Race relations will get worse', 'Refused']"
,HAPPENd_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. will be more/less important in the world","['The U.S. will be more important in the world', 'The U.S. will be less important in the world', 'Refused']"
,HAPPENe_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The gap between the rich and the poor will grow/get smaller","['The gap between the rich and the poor will grow', 'The gap between the rich and the poor will get smaller', 'Refused']"
,HAPPENf_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The public education system will improve/get worse","['The public education system will improve', 'The public education system will get worse', 'Refused']"
,HAPPENg_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Religion will become less/about as important","['Religion will become less important', 'Religion will be about as important as it is now', 'Refused']"
,HAPPENhF1_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? People 65 and older will have a better/worse standard of living","['People 65 and older will have a better standard of living', 'People 65 and older will have a worse standard of living', 'Refused']"
,HAPPENiF2_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living","['Children will have a better standard of living', 'Children will have a worse standard of living', 'Refused']"
,HAPPENj_W41,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The country will be more/less politically divided","['The country will be more politically divided', 'The country will be less politically divided', 'Refused']"
,HAPPEN2a_W41,How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2b_W41,How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2c_W41,How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2d_W41,How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2e_W41,How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2f_W41,How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2g_W41,How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,HAPPEN2h_W41,How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,NATDEBT_W41,Which do you think is most likely to occur over the next 30 years? The national debt will,"['Grow larger', 'Stay about the same', 'Be reduced', 'Be eliminated', 'Refused']"
,ENVC_W41,"By the year 2050, do you think the overall condition of the environment will be","['Better than it is now', 'Worse than it is now', 'About the same as it is now', 'Refused']"
,POPPROB_W41,"In 2050, do you think population growth in the U.S. will be a","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,FTRWORRYa_W41,"Still thinking about the future of our country, how worried are you, if at all, about the overall soundness of our economic system?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']"
,FTRWORRYb_W41,"Still thinking about the future of our country, how worried are you, if at all, about the ability of public schools to provide a quality education?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']"
,FTRWORRYc_W41,"Still thinking about the future of our country, how worried are you, if at all, about the way the government in Washington works?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']"
,FTRWORRYd_W41,"Still thinking about the future of our country, how worried are you, if at all, about the ability of political leaders to solve the country's biggest problems?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']"
,FTRWORRYe_W41,"Still thinking about the future of our country, how worried are you, if at all, about the moral values of Americans?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']"
,FTRWORRYf_W41,"Still thinking about the future of our country, how worried are you, if at all, about climate change?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']"
,ELDCARE_W41,"Thinking ahead 30 years from now, which do you think is more likely to happen? Adults ages 65 and older will be","['better prepared financially for retirement than older adults are today', 'less prepared financially for retirement than older adults today', 'Refused']"
,ELDFINANCEF1_W41,Who do you think will be mostly responsible for paying for the long-term care older Americans may need?,"['Family members', 'Government', 'Older Americans themselves', 'Refused']"
,ELDFINANCEF2_W41,Who do you think should be mostly responsible for paying for the long-term care older Americans may need?,"['Family members', 'Government', 'Older Americans themselves', 'Refused']"
,GOVPRIOa_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing the national debt?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOb_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for education?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOc_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOd_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending on scientific research?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOe_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing the gap between the rich and the poor?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOfF1_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing military spending?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOgF1_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing the number of undocumented immigrants coming into the U.S.?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOhF1_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing spending on Social Security, Medicare and Medicaid?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOiF1_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for roads, bridges and other infrastructure?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOjF1_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to avoiding tax increases?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOkF2_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing military spending?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOlF2_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to who come here legally? Allowing more immigrants into the U.S.","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOmF2_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending on Social Security, Medicare and Medicaid?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOnF2_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing spending for roads, bridges and other infrastructure?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,GOVPRIOoF2_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to dealing with climate change?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']"
,WRKTRN1F1_W41,"Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job?","['Government', 'Employers', 'The education system', 'Individuals themselves', 'Refused']"
,WRKTRN1F2_W41,"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job?","['Government', 'Employers', 'The education system', 'Individuals themselves', 'Refused']"
,JOBSECURITY_W41,"By the year 2050, will the average working person in this country have","['More job security', 'Less job security', 'About the same', 'Refused']"
,JOBBENEFITS_W41,"Over the next 30 years, will the average working person in this country have employee benefits, such as health insurance, paid vacations and retirement plans that are","['Better than they are now', 'Not as good as they are now', 'About the same as they are now', 'Refused']"
,AUTOWKPLC_W41,"Overall, has the automation of jobs through new technology in the workplace","['Mostly helped American workers', 'Mostly hurt American workers', 'Neither helped nor hurt', 'Refused']"
,ROBWRK_W41,"Overall, how likely do you think it is that 30 years from now robots and computers will do much of the work currently done by humans? Do you think this will","['Definitely happen', 'Probably happen', 'Probably not happen', 'Definitely not happen', 'Refused']"
,ROBWRK2_W41,"If robots and computers do much of the work currently done by humans, do you think this would be","['A very good thing for the country', 'A somewhat good thing for the country', 'A somewhat bad thing for the country', 'A very bad thing for the country', 'Refused']"
,AUTOLKLY_W41,"Within the next 30 years, how likely do you think it is that the type of work that you do will be done by robots or computers? Do you think this will","['Definitely happen', 'Probably happen', 'Probably not happen', 'Definitely not happen', 'Refused']"
,ROBIMPACTa_W41,"If robots and computers perform most of the jobs currently being done by humans, do you think it is likely or not that inequality between the rich and the poor would increase","['Yes, likely', 'No, not likely', 'Refused']"
,ROBIMPACTb_W41,"If robots and computers perform most of the jobs currently being done by humans, do you think it is likely or not that the economy would create many new, better-paying jobs for humans","['Yes, likely', 'No, not likely', 'Refused']"
,LEGALIMG_W41,"In order to maintain the strength of the U.S. economy over the next 30 years, do you think that legal immigration will need to be","['Increased', 'Maintained at current levels', 'Decreased', 'Refused']"
,FUTRCLASSa_W41,"Over the next 30 years, do you think the share of Americans who are upper class will increase, decrease, or stay about the same?","['Increase', 'Decrease', 'Stay about the same', 'Refused']"
,FUTRCLASSb_W41,"Over the next 30 years, do you think the share of Americans who are in Middle Class will increase, decrease, or stay about the same?","['Increase', 'Decrease', 'Stay about the same', 'Refused']"
,FUTRCLASSc_W41,"Over the next 30 years, do you think the share of Americans who are lower class will increase, decrease, or stay about the same?","['Increase', 'Decrease', 'Stay about the same', 'Refused']"
,HARASS1F1a_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS1F1b_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding ou is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS1F1c_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS1F1d_W41,"When it comes to sexual harassment and sexual assault in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or ass is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS1NOWRKF2a_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS1NOWRKF2c_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS1NOWRKF2d_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']"
,HARASS3F1_W41,"Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women in the workplace, or hasn't it made much difference?","['Has made it easier for men', 'Has made it harder for men', ""Hasn't made much difference"", 'Refused']"
,HARASS3NOWRKF2_W41,"Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women, or hasn't it made much difference?","['Has made it easier for men', 'Has made it harder for men', ""Hasn't made much difference"", 'Refused']"
,HARASS4_W41,"Now thinking about your own experiences have you ever personally received unwanted sexual advances or verbal or physical harassment of a sexual nature? This can be in any circumstance, whether or not work-related.","['Yes', 'No', 'Refused']"
,HARASS5_W41,Have you received unwanted sexual advances or verbal or physical harassment of a sexual nature,"['In a professional or work setting', 'Outside of a professional or work setting', 'Both', 'Refused']"
